date,home_team,away_team,home_goals,away_goals
2021-04-24,Parma,Crotone,3.0,4.0
2021-04-25,Atalanta,Bologna,5.0,0.0
2021-04-25,Benevento,Udinese,2.0,4.0
2021-04-25,Cagliari,Roma,3.0,2.0
2021-04-25,Fiorentina,Juventus,1.0,1.0
2021-04-26,Lazio,Milan,3.0,0.0
2021-04-26,Torino,Napoli,0.0,2.0
2021-05-01,Crotone,Internazionale,0.0,2.0
2021-05-01,Milan,Benevento,2.0,0.0
2021-05-01,Hellas Verona,Spezia,1.0,1.0
2021-05-02,Udinese,Juventus,1.0,2.0
2021-05-02,Bologna,Fiorentina,3.0,3.0
2021-05-02,Sampdoria,Roma,2.0,0.0
2021-05-02,Sassuolo,Atalanta,1.0,1.0
2021-05-02,Lazio,Genoa,4.0,3.0
2021-05-02,Napoli,Cagliari,1.0,1.0
2021-05-03,Torino,Parma,1.0,0.0
2021-05-08,Spezia,Napoli,1.0,4.0
2021-05-08,Udinese,Bologna,1.0,1.0
2021-05-08,Fiorentina,Lazio,2.0,0.0
2021-05-09,Benevento,Cagliari,1.0,3.0
2021-05-09,Parma,Atalanta,2.0,5.0
2021-05-09,Genoa,Sassuolo,1.0,2.0
2021-05-09,Hellas Verona,Torino,1.0,1.0
2021-05-09,Roma,Crotone,5.0,0.0
2021-05-09,Juventus,Milan,0.0,3.0
2021-05-11,Napoli,Udinese,5.0,1.0
2021-05-12,Atalanta,Benevento,2.0,0.0
2021-05-12,Cagliari,Fiorentina,0.0,0.0
2021-05-12,Sampdoria,Spezia,2.0,2.0
2021-05-12,Sassuolo,Juventus,1.0,3.0
2021-05-12,Torino,Milan,0.0,7.0
2021-05-12,Lazio,Parma,1.0,0.0
2021-05-12,Bologna,Genoa,0.0,2.0
2021-05-13,Crotone,Hellas Verona,2.0,1.0
2021-05-15,Juventus,Internazionale,3.0,2.0
2021-05-15,Genoa,Atalanta,3.0,4.0
2021-05-15,Spezia,Torino,4.0,1.0
2021-05-15,Roma,Lazio,2.0,0.0
2021-05-16,Parma,Sassuolo,1.0,3.0
2021-05-16,Fiorentina,Napoli,0.0,2.0
2021-05-16,Udinese,Sampdoria,0.0,1.0
2021-05-16,Benevento,Crotone,1.0,1.0
2021-05-16,Milan,Cagliari,0.0,0.0
2021-05-17,Hellas Verona,Bologna,2.0,2.0
2021-05-18,Lazio,Torino,0.0,0.0
2021-05-22,Sampdoria,Parma,3.0,0.0
2021-05-22,Cagliari,Genoa,0.0,1.0
2021-05-22,Crotone,Fiorentina,0.0,0.0
2021-05-23,Atalanta,Milan,0.0,2.0
2021-05-23,Napoli,Hellas Verona,1.0,1.0
2021-05-23,Sassuolo,Lazio,2.0,0.0
2021-05-23,Bologna,Juventus,1.0,4.0
2021-05-23,Spezia,Roma,2.0,2.0
2021-05-23,Torino,Benevento,1.0,1.0
2021-08-21,Hellas Verona,Sassuolo,2.0,3.0
2021-08-21,Torino,Atalanta,1.0,2.0
2021-08-21,Empoli,Lazio,1.0,3.0
2021-08-22,Roma,Fiorentina,3.0,1.0
2021-08-22,Napoli,Venezia,2.0,0.0
2021-08-22,Udinese,Juventus,2.0,2.0
2021-08-22,Bologna,Salernitana,3.0,2.0
2021-08-23,Cagliari,Spezia,2.0,2.0
2021-08-23,Sampdoria,Milan,0.0,1.0
2021-08-27,Udinese,Venezia,3.0,0.0
2021-08-27,Hellas Verona,Internazionale,1.0,3.0
2021-08-28,Fiorentina,Torino,2.0,1.0
2021-08-28,Lazio,Spezia,6.0,1.0
2021-08-28,Juventus,Empoli,0.0,1.0
2021-08-28,Atalanta,Bologna,0.0,0.0
2021-08-29,Salernitana,Roma,0.0,4.0
2021-08-29,Genoa,Napoli,1.0,2.0
2021-08-29,Milan,Cagliari,4.0,1.0
2021-08-29,Sassuolo,Sampdoria,0.0,0.0
2021-09-11,Atalanta,Fiorentina,1.0,2.0
2021-09-11,Empoli,Venezia,1.0,2.0
2021-09-11,Napoli,Juventus,2.0,1.0
2021-09-12,Torino,Salernitana,4.0,0.0
2021-09-12,Cagliari,Genoa,2.0,3.0
2021-09-12,Sampdoria,Internazionale,2.0,2.0
2021-09-12,Roma,Sassuolo,2.0,1.0
2021-09-12,Milan,Lazio,2.0,0.0
2021-09-12,Spezia,Udinese,0.0,1.0
2021-09-13,Bologna,Hellas Verona,1.0,0.0
2021-09-17,Sassuolo,Torino,0.0,1.0
2021-09-18,Salernitana,Atalanta,0.0,1.0
2021-09-18,Genoa,Fiorentina,1.0,2.0
2021-09-19,Juventus,Milan,1.0,1.0
2021-09-19,Lazio,Cagliari,2.0,2.0
2021-09-19,Empoli,Sampdoria,0.0,3.0
2021-09-19,Hellas Verona,Roma,3.0,2.0
2021-09-19,Venezia,Spezia,1.0,2.0
2021-09-20,Udinese,Napoli,0.0,4.0
2021-09-21,Atalanta,Sassuolo,2.0,1.0
2021-09-21,Bologna,Genoa,2.0,2.0
2021-09-21,Fiorentina,Internazionale,1.0,3.0
2021-09-22,Salernitana,Hellas Verona,2.0,2.0
2021-09-22,Spezia,Juventus,2.0,3.0
2021-09-22,Cagliari,Empoli,0.0,2.0
2021-09-22,Milan,Venezia,2.0,0.0
2021-09-23,Roma,Udinese,1.0,0.0
2021-09-23,Torino,Lazio,1.0,1.0
2021-09-23,Sampdoria,Napoli,0.0,4.0
2021-09-25,Spezia,Milan,1.0,2.0
2021-09-25,Genoa,Hellas Verona,3.0,3.0
2021-09-26,Juventus,Sampdoria,3.0,2.0
2021-09-26,Napoli,Cagliari,2.0,0.0
2021-09-26,Empoli,Bologna,4.0,2.0
2021-09-26,Lazio,Roma,3.0,2.0
2021-09-26,Udinese,Fiorentina,0.0,1.0
2021-09-26,Sassuolo,Salernitana,1.0,0.0
2021-09-27,Venezia,Torino,1.0,1.0
2021-10-01,Cagliari,Venezia,1.0,1.0
2021-10-02,Salernitana,Genoa,1.0,0.0
2021-10-02,Torino,Juventus,0.0,1.0
2021-10-02,Sassuolo,Internazionale,1.0,2.0
2021-10-03,Hellas Verona,Spezia,4.0,0.0
2021-10-03,Bologna,Lazio,3.0,0.0
2021-10-03,Atalanta,Milan,2.0,3.0
2021-10-03,Roma,Empoli,2.0,0.0
2021-10-03,Fiorentina,Napoli,1.0,2.0
2021-10-03,Sampdoria,Udinese,3.0,3.0
2021-10-16,Spezia,Salernitana,2.0,1.0
2021-10-16,Milan,Hellas Verona,3.0,2.0
2021-10-16,Lazio,Internazionale,3.0,1.0
2021-10-17,Empoli,Atalanta,1.0,4.0
2021-10-17,Napoli,Torino,1.0,0.0
2021-10-17,Genoa,Sassuolo,2.0,2.0
2021-10-17,Juventus,Roma,1.0,0.0
2021-10-17,Udinese,Bologna,1.0,1.0
2021-10-17,Cagliari,Sampdoria,3.0,1.0
2021-10-18,Venezia,Fiorentina,1.0,0.0
2021-10-22,Torino,Genoa,3.0,2.0
2021-10-22,Sampdoria,Spezia,2.0,1.0
2021-10-23,Salernitana,Empoli,2.0,4.0
2021-10-23,Sassuolo,Venezia,3.0,1.0
2021-10-23,Bologna,Milan,2.0,4.0
2021-10-24,Fiorentina,Cagliari,3.0,0.0
2021-10-24,Hellas Verona,Lazio,4.0,1.0
2021-10-24,Atalanta,Udinese,1.0,1.0
2021-10-24,Roma,Napoli,0.0,0.0
2021-10-26,Milan,Torino,1.0,0.0
2021-10-26,Venezia,Salernitana,1.0,2.0
2021-10-26,Spezia,Genoa,1.0,1.0
2021-10-27,Sampdoria,Atalanta,1.0,3.0
2021-10-27,Empoli,Internazionale,0.0,2.0
2021-10-27,Udinese,Hellas Verona,1.0,1.0
2021-10-27,Juventus,Sassuolo,1.0,2.0
2021-10-27,Lazio,Fiorentina,1.0,0.0
2021-10-27,Cagliari,Roma,1.0,2.0
2021-10-28,Napoli,Bologna,3.0,0.0
2021-10-30,Hellas Verona,Juventus,2.0,1.0
2021-10-30,Atalanta,Lazio,2.0,2.0
2021-10-30,Torino,Sampdoria,3.0,0.0
2021-10-31,Salernitana,Napoli,0.0,1.0
2021-10-31,Sassuolo,Empoli,1.0,2.0
2021-10-31,Roma,Milan,1.0,2.0
2021-10-31,Fiorentina,Spezia,3.0,0.0
2021-10-31,Genoa,Venezia,0.0,0.0
2021-11-01,Bologna,Cagliari,2.0,0.0
2021-11-05,Empoli,Genoa,2.0,2.0
2021-11-06,Spezia,Torino,1.0,0.0
2021-11-06,Juventus,Fiorentina,1.0,0.0
2021-11-06,Cagliari,Atalanta,1.0,2.0
2021-11-07,Milan,Internazionale,1.0,1.0
2021-11-07,Venezia,Roma,3.0,2.0
2021-11-07,Lazio,Salernitana,3.0,0.0
2021-11-07,Sampdoria,Bologna,1.0,2.0
2021-11-07,Napoli,Hellas Verona,1.0,1.0
2021-11-07,Udinese,Sassuolo,3.0,2.0
2021-11-20,Fiorentina,Milan,4.0,3.0
2021-11-20,Lazio,Juventus,0.0,2.0
2021-11-20,Atalanta,Spezia,5.0,2.0
2021-11-21,Genoa,Roma,0.0,2.0
2021-11-21,Sassuolo,Cagliari,2.0,2.0
2021-11-21,Salernitana,Sampdoria,0.0,2.0
2021-11-21,Bologna,Venezia,0.0,1.0
2021-11-22,Torino,Udinese,2.0,1.0
2021-11-22,Hellas Verona,Empoli,2.0,1.0
2021-11-26,Cagliari,Salernitana,1.0,1.0
2021-11-27,Sampdoria,Hellas Verona,3.0,1.0
2021-11-27,Juventus,Atalanta,0.0,1.0
2021-11-27,Venezia,Internazionale,0.0,2.0
2021-11-27,Empoli,Fiorentina,2.0,1.0
2021-11-28,Udinese,Genoa,0.0,0.0
2021-11-28,Napoli,Lazio,4.0,0.0
2021-11-28,Roma,Torino,1.0,0.0
2021-11-28,Milan,Sassuolo,1.0,3.0
2021-11-28,Spezia,Bologna,0.0,1.0
2021-11-30,Atalanta,Venezia,4.0,0.0
2021-11-30,Salernitana,Juventus,0.0,2.0
2021-11-30,Fiorentina,Sampdoria,3.0,1.0
2021-11-30,Hellas Verona,Cagliari,0.0,0.0
2021-12-01,Bologna,Roma,1.0,0.0
2021-12-01,Sassuolo,Napoli,2.0,2.0
2021-12-01,Genoa,Milan,0.0,3.0
2021-12-02,Lazio,Udinese,4.0,4.0
2021-12-02,Torino,Empoli,2.0,2.0
2021-12-04,Milan,Salernitana,2.0,0.0
